"followup##gdid",project,"followup##payment_number","followup##daily_life_ubi_initial","followup##daily_life_ubi_repeated","followup##goals","followup##goals_ubi_repeated","followup##life_different","followup##life_different_future","followup##life_different_ubi_repeated"
gd-22521169,ubi_kenya,1,"I have always admired to start a poultry business but because I did not have a stable source of income, I have not been able to have it but thanks to Give Directly, I have the business running.",,"Apart from my earlier goals, I would want to expand my main house to accommodate my family.",,"I right now have poultry business which has been my dream and since I started receiving this transfer, we eat well as a family.","I would want to pay fees in time so that my children may not be sent out of school.",
gd-21742938,ubi_kenya,1,"The biggest difference in my daily life is that I am able to use clean  energy from the solar lamp I bought using the transfer. I no longer use the tin lamp that produced a lot soot that was a health hazard.",,"My new goal is to build a new house. An iron roofed house this time. At the moment my current house is grass thatched that is so old fashioned and I would love to change that.",,"My current life is different in that I have manged to buy a solar lamp. My house is now well lit. Were it not for this transfer,it would have never been.","In the next six months,I expect my life to change for the better with an Iron roofed house which is my new goal.",
gd-22544449,ubi_kenya,4,"The biggest difference in my daily is that l no longer worry so much a bout what to eat because right now l am very sure of receiving money every month.",,"My new goal is to start dairy farming as my future investment.",,"My life is currently different from how it was because l longer go without food as compared to before.","In the next six months l expect to have build a kitchen.",
gd-22316984,ubi_kenya,1,"The biggest difference in my daily life is that for the first time I managed to get seeds and paid for labour without having to sell my beans from the previous season, which has always been the case.",,"In the next six months I expect my life to change our lives in that we plan to buy a plough to make our food production more efficient and also help us get more food that we can always sell to meet other needs.",,"My life is currently different in that I can afford to plan, albeit one Project at a time.","My life will definitely change since I am scaling up food production.",
gd-21114863,ubi_kenya,1,"There is a lot of happiness in my daily life since I started receiving transfers because I can now drink tea with adequate sugar of which most women love and I never lack soap for cleaning.",,"I have started investing in merry go round group of which our major goal is to buy two heifers for every member before the twelve years are over.I also plan to set up a poultry house and increase my chicken stock in order to increase my source of income. I also plan to start offering tithes to God because he is the source of all blessings.",,"These transfers have eased my money burden because my children in college never lack food anymore.Before the transfers they would call to ask for money which ended up as stress for me.","I expect my life to change for better in the next six months because there is increased happiness.  I am planning to buy fertilizer using the next transfer in order to plant beans which is a three months crop.This will act as a source of income and will boost my other projects like the chicken rearing.",
gd-22251412,ubi_kenya,1,"The biggest difference in life my since I started receiving this money is I will be able to pay my children school fees.",,"So far I have no new goals.",,"The difference is I was not able to pay my children's  fees well but currently i can comfortable foot their school fees. My business is also doing better because of the ability to boast it that GD has enable me by issuing the transfers.","I expect  to have less debts and as well I see my farming improving given that I will be able to purchase fertilizer and improved seedlings that will give me a bumper harvest. Besides that my children will study with less disturbance of fee breaks given that I will be at a position of settling their fees in advance. Generally I see my life being more comfortable and easier.",
gd-21770583,ubi_kenya,2,"I used to have very old and torn out clothes but now I have presentable ones and feel comfortable going out anytime.",,"Currently I do not have new goals.",,"I have new clothes, We eat well and I have where I can get loan to fulfill my dreams.","I have been longing for a house so that I may be able to marry and settle down as a family. I also plan to start up a business after settling down.",
gd-21900078,ubi_kenya,1,"The biggest in my daily since I started receiving the payments is that I feel good because I managed to reduce the fees that had piled in school. I am now working hard towards clearing the remaining amont so as to pick my certificate which is majorly an evidence of completing high school.",,"My new goals are; building my house (simba) since I currently stay at my grandmothers place which is uncomfortable and the next one is joining college.",,"My life is currently different from how it would have been if I never received the transfer in that, I managed to reduced the fee balance which had piled while in high school ; it could not have been the case right now.","I expect my life to change in the next six months in that, I will have built my house ( simba) hence having all the freedon since currently, I stay at my grandmother's place which is uncomfortable especially whenever she has a lot of visitors.",
gd-24070259,ubi_kenya,4,,,,,,,
gd-24819196,ubi_kenya,1,"The biggest difference in my daily life since I started receiving the money is that I'm happy I already have materials required for plastering my house thus I'll be able to get rid of jiggers in my house.",,"I have a new goal of starting up a business so that I can have an additional source of income apart from farming. I had thought of it but I could not afford it and now that I'm expecting money from GD, it's part of my budget.",,"My life is currently diferent from the way it would have been had I not received the money from GiveDirectluyu in that I didn't know I would one day plaster my house. I'm now happy I've made a great step purchasing the required materials.","In the next six months, I expect to have attended a hair dressing college so that I can start up my own hair dressing shop.",
gd-20970624,ubi_kenya,5,,"The biggest difference in my daily life in the last four months is that I have had humble life in that I easily get my family basic needs like food. The transfers has given me a security in life hence am able to get other basic needs and good even at the time I don't have any cash money. This has always made me happy.",,"The new goal that I have in my life in the next four months is to buy a cow and to cement my house.",,"In the next six months I expect to have to be living a better life in that I will have bought a milk cow and to have improved my bedding materials.","My life is currently different from how it was four months ago in that I am current living a stress free life. The transfers has reduce dependence in my family since every one is empowered hence each and every one rely on her/him self unlike before when I had to struggle harder to support everyone."
gd-21230099,ubi_kenya,2,"I was able to expand my business and this has enabled me to get a higher income at the end of  day unlike before.",,"I have a new  goal of opening a  new  business that will make me more comfortable since i will be able to earn more money that can enable me plan bigger things that require more money.",,"It is now very different because i have more customers in my shop that really motivates me to work harder to improve my customer service.","In the next six months i am planning to build my own  house  because i am now still leaving in my parents place.",
gd-22685099,ubi_kenya,3,"The biggest difference in my daily life since I started receiving payments from give directly is I desired to buy a solar panel to light my home and this is coming to implementation.",,"I am planning to install solar lighting and take care of my family in terms of clothing and their well-being.",,"Currently there is ease in terms of income. Before I had to work extra hard to achieve targets in my household.  Before this was a struggle.","In the next six months, my house will be good looking and well lighted. I also will have furniture in my household.",
gd-21519644,ubi_kenya,2,"My daily life is different since I now days do not miss even a single meal.",,"My only goal in life is to buy a cow.",,"My life currently is different since I have been able to plant some maize in my farm.","I expect your life to change in that I will not be lacking food.",
gd-22819153,ubi_kenya,1,"The biggest difference in my life since I started receiving this payment from Give Directly is that it cleared the debts I had with the workers I have been working with in my household.",,"I have a new goal to establish a poultry farming to be managed by my wife while I also work in other projects within the household.",,"My life currently has really changed especially in knowing the fact that this money will not be refunded unlike the loans we have been obtaining. At the moment I am really free to try an new project with the same money.","I expect my life to have changed in the fact that I will have improved in many projects and even will have facilitated the payment of the workers in my household.",
gd-21528471,ubi_kenya,1,,,,,,,
gd-21574352,ubi_kenya,1,,,,,,,
gd-22509626,ubi_kenya,7,,"The biggest diference in my daily life in the last four months preceding the current transfer is that I have peace and I no longer get worried of how to raise money fo rmeeting my family needs. Now that I'm sure of money every month I can easily borrow knowing that I won't  face hallenges repaying it.",,"In the next four months, I havve a new goal of constructing a new house becuase currently I have grass thatch house which is expensive maintaining since grass is very rare currently.",,"In the next six months, I expect to have constructed a new iron roof house.","My life is currently from the way it was four months ago in that my life has improved and I can afford a balanced diet, this has really improved my health."
gd-24555841,ubi_kenya,2,,"The biggest difference is that I am able to pay school fees with ease. My daughter is able to finish her high school.",,"I am planning to expand my cereals business to increase my income.",,"In the next six months I will have finished building and plastered the kitchen, I also will have bought a cow and household furnitures.","The difference is that I am able to eat well with my family and take care of them with much ease."
gd-24213625,ubi_kenya,1,"The biggest difference in my daily life since I started receiving the transfer is that currently am relaxed, I don't do more hard and less paying casual jobs. I can now afford food, petty funds for my family daily usage.  The recent transfer brought happiness in my family in that It made it possible for my daughter to get her basic requirements needed for her stay in campus. This made made me happier and stress free.",,"The new goal that I have that I didn't have before is to build a house for my children and to buy a piece of land.",,"My life is currently different from how it would have been if I had not received the transfers in that I am currently living a peaceful life in that I don't think a lot of hard casual jobs that I had to do before to afford my family basic needs. I am currently empower to do my own work which helps me relax and have better income than before. I am happier and more hopeful of good things to come in my future life more so that I have seen ability of giving my children education.","In the next six months I expect my life to be better than today. I expect I will have built a house and I will have bought a cow.",
gd-24737037,ubi_kenya,1,"The biggest difference in my daily life since I started receiving payments from GiveDirectly is that, I have deposited some amount of money for a piece of land hence I am hopeful of owning one soon.",,"My new goal are; to make sure that I educate my children to the highest level because I only got an opportunity to study up to form two. I also want to buy a cow that I will use for transportation.",,"My life is currently different from how it would have been if I never received the transfer in that, my children and I are decent because we bought clothes.","I expect my life to change in the next six months in that, I will have started a business and from the income, I will be able to take care of my daily needs.",
gd-21071213,ubi_kenya,5,,"In the last four months my life has fully changed because i was able  to start a business that really helps me and my family a lot.",,"I have a goal of getting accumulated money to finish my house that i had started constructing.",,"My expectation is that i will want to  expand my business to get more money as a pay back.","I was very poor since i could only depend on payable contracts that were not reliable hence my family could not get money foe the basic needs."
gd-22523497,ubi_kenya,1,"The biggest difference in my daily life is that I am able to change  my diets. I have been tired of taking the same meal everyday. My family is happier now.",,"I did not have any goal before until I started these transfers. I have   a goal of stalling a posho mill. With this I will be able to have steady and stable source of income.",,"Were it not for these transfers,I could have not managed to change my diets like I did when I received the transfers from GiveDirectly. At least I managed to eat something different after longtime of feeding on vegetables.","In the next six months,I expect my living standards to have improved from the way it is now. I am hopeful that this shall come to pass when I continue receiving these transfers from GiveDirectly.",
gd-21890863,ubi_kenya,4,"The biggest difference in my daily life is that l am now staying in a spacious comfortable house, since l spent the whole of the transfer l have been saving from GD plus other savings and built a nice house.",,"My new goal is to start poultry keeping as my future investment.",,"Had l not received the transfer l could not have build my house this fast.","In the next six month l expect to have started poultry keeping.",
gd-24379592,ubi_kenya,1,"The biggest difference in my daily life since I started receiving payments is that am able to feed well because I used the money I received to buy food.",,"My new plan is to build a toilet for my family because I do not have one  at the moment and I have to wait till darkness to go for a long call.I also have a plan of renovating my house by plastering it.",,"My life is currently different from how it would have been because I have managed to  buy livestock and cleared off the debts I had. I am also able to buy better quality foods which I could not afford before.","In the next six months,I expect to have built a toilet which will help reduce the health risks I am currently facing because of lack of a toilet.",
gd-21643901,ubi_kenya,5,,"The biggest difference in my daily life is there is adequate  my livestock food  because  these transfers enabled me to plant forage grass for my cattle hence increased milk and less stress while rearing livestock.",,"I am planning to save  these transfers towards buying a forage grass cutting machine  to make my work easier.

 I am also planning to build a store for storage of dry forage grass for my livestock.",,"In the next six months my grass store will be complete and will be almost buying grass cutting machine.

In the next six months I will have bought goats which will be a source of fertilizer for my forage grass.","My life is currently different because there increased milk hence increased income.Before the transfers I was forced to keep my cattle under rope because of inadequate food but nowadays I don't because there is adequate forage grass.  In terms of food and household items there is adequate  food and increased happiness."
gd-22140832,ubi_kenya,1,"The biggest difference in my daily life since I started receiving payments is am able to have good health. I am planning to have access to medical care. With good health you are able to do a lot of things including farming which is my major occupation.",,"I currently have no new goal apart from the ones I had earlier. These were get my family a medical cover, this way we secure our health and expand my farming activities to have food security.",,"I am planning to acquire ma medical cover this will improve and ease our access to health facilities. This I would not have been able to acquire if it were not for GD.","In the next six months  expect to have good health consistently having acquired medical cover. Secondly I see myself having better life in terms of having food security from the farm harvest. This will be achievable after expanding my farm activities.",
gd-21506549,ubi_kenya,5,,"The biggest difference in my daily life is that these transfers  have enabled me to access food of which was not possible before.",,"I am planning to top my transfer with my husband's and buy a heifer.",,"I am expecting to have a bought a cow to boost milk production and income for acquisition of household items.","My life is currently  different because I now have adequate food and milk as opposed to earlier where I used to sleep without food."
gd-23252064,ubi_kenya,1,"The biggest difference in my daily life is that I have gotten those things I have always wanted for a long time.",,"I have always had the goal of seeing my son through school and to expand my current house that is too squeezed. These are still my goals. They are long term and I am hopeful I will fulfill them. I do  not have any new goal at the moment.",,"Were it not for GiveDirectly,I would have not gotten money to done so many things.Maybe my son could be out of school for lack of school fees or even the thought of expanding my house could have never materialized.","In the next six months,I expect to have expect my life to have changed for the better. My son will be in school and I will have a piece of mind.",
gd-22637375,ubi_kenya,1,"Ever since I received this transfer, I have never gone without. We have had food food in the house. Thanks to GD.",,"Currently, I do not have any new goal.",,"We have never gone without food, I was able to provide for my children school requirements in time and that I don't have to go for casual work to get money.","I would start up a business to help raise my income",
gd-22046063,ubi_kenya,7,,"The biggest in my daily life since I started receiving money from GiveDirectly is that since I started receiving money from GiveDirectly is that I'm able to afford daily meals with a lot of ease.",,"I have a new goal of building a house because currently, I do not have a house.",,"In the next six months I expect to have built my house.","My life is currently different from the way it was four months ago in that I feel comfortable because I can easily meet my needs."
gd-20946083,ubi_kenya,5,,"The biggest difference in my daily life is happiness since my child has been able to stay for long in school without being sent back home.",,"The new goal I now have is to clear school fees for my child who is in Form four.",,"I expect your life to change in that I will have cleared school fees for my child.","My life currently is different since I do not have more stress on where to get money from to use in paying school fees for my children."
gd-24308879,ubi_kenya,1,"Given the kind of jobs we do for a living, casual labour, it was hard even get fees and food for my family and the thought of my daughter's need to board in school, which is a mandatory requirement per the school policies, left me disturbed. I did not know how else  I could help her meet her educational needs. But thanks to give directly, the money met me at a crucial time. I bought her boarding requirements and paid her school fees KES 10000.",,"I want my family to be food secure. We have had little on the table given that we always take care of school fees with the little we can get from casual jobs.My other goal is to furnish our house to look attractive by putting seats which we do not have currently. I also want to make sure my children get a decent meal and decent clothes at least a pair each.",,"Since we received GD transfer my family has had enough food on the table. I have also bought building materials, I want to put up a house for my sons so they do not keeping going to sleep in my neighbours. Were it not of this money I was planning to go to big towns e.g Nairobi to look for a job. But now I can relax and farm since my family has been well taken care of. I am stress free and have space to breath.","I want to go into dairy farming at least get two diary cows.Schools around here accept farm produce even milk to supplement cash for school fees. I will be selling the milk too for other family needs.",
gd-21767382,ubi_kenya,2,"The biggest difference in my daily life is that I managed to plant on my farm so i'm now expecting good harvest That I believe will provide me with some income.",,"I have a new goal of paying for my hostel rent on my own without relying on my mum. Being a student I couldn't even think of paying for it because I did not have any source of income.",,"My life is currently different from the way it would have been hed I not received the money in that I now feel independent and I do not have to rely on my parents for everything.","I expect to enroll in a business management course in the next six months after completing the current course I'm doing. This will add me an advantage while seeking employment.",
gd-22012210,ubi_kenya,8,,"The biggest difference in my daily life is that l am able to pay school fee to my children comfortably without so much strangling.",,"In the next four months l am planing to save and pay dowry to my in-laws.",,"In the next six month l would have paid dowry to my in-laws and also continue paying school fee my children.","There is no big difference in my life compared to the last four months because the money l am getting from give directly l am still using it to pay school fee."
gd-22197480,ubi_kenya,1,"The biggest difference in my daily life is the improved lifestyle that my family has experienced since we began receiving the transfer. I have found much ease in acquiring food for my family.",,"I have a new goal of investing in livestock farming as it has been my dream project for years.",,"My life is currently different than it would have been without the transfer since I have been made able to take my daughter for medical review every month, something that I could not do before due to the expenses involved.","In the next six months, I expect to live a very improved lifestyle. With the livestock that I intend to keep, I expect to start milking immediately my cows mature. We will be able to feed on adequate milk throughout our lives.",
gd-21332531,ubi_kenya,6,,"My life has become better since the transfer has enabled me to get money to do farming hence will get a good harvest to mean a good pay after selling the produce.",,"I am planning to start serious poultry farming that will help me in future.",,"I am planning to buy a land in the next six months to make my family more comfortable.","I am very happy since i can for my family at ease without much stress like before since i rely on the transfer."
gd-20867998,ubi_kenya,5,,"The biggest difference in my daily life is that GD transfers led us into forming a merry go round group which has yielded fruits in our lives.",,"My additional  plan is  to construct a house.",,"In the next six months i will have constructed and improved my house.","In the last four months, I was struggling a lot to gather for the needs of my family. I can now afford to provide for my family though GD transfers."
gd-21601415,ubi_kenya,1,"The biggest difference in my daily life is that I am happy and confident that GD will extend transfer to me and I will earn monthly.",,"My new goal is to buy livestock",,"Since it is the first transfer, my life has not yet changed, with more transfers I will do better.","I expect to have started dairy farming",
gd-23892749,ubi_kenya,1,"The money enabled me to expand my business to a great extent which I know will help the family in the near future.",,"I am currently planning to repair my house when I get the second transfer from GD. I will combine efforts with my daughters so that we can make that house look more presentable.",,"My life is now different because I am able to clear fees balances and also expand my business to some extent, something that proved to be an uphill task for me in the past.","I will have repaired my house and it will very different from how it is today. In addition to that, I am sure my business will be doing so well and my family will be able to live comfortably from the proceeds realized from the business.",
gd-24178026,ubi_kenya,2,,"The biggest difference in my daily life is my living standard which has improved. I live a comfortable life now: new house, enough food and a television set. I thank God for Give Directly because I would at times go to a neighbor's to borrow to watch television and it was not good at all. We used to live in a thatched old house too but now we live in a semi-permanent spacious one with iron roofing. We used to have inconsistent meals but now we are well fed courtesy of GD. My living standard is so much better than before and I am grateful to GiveDirectly.",,"My new goal is to take my daughters through college education. I feel I need to further their education so that they can have good lives in future. I was not fortunate enough to go school so I desire to educate my children to get a better life than mine. Being illiterate, I am not able to read or write but it is my joy to see my children being able to.",,"I expect my life to be better in the next months. I have planted some tea leaves for future sale. The tea will be a source of income for us. I used part of GiveDirectly funds to buy the tea seedlings and vegetables seeds which are now in the farm; we are expecting a bumper harvest in the next four months hence an income. I also plan to buy a cow as an investment to cater for school fee for our children.","My life is currently different. The past four months were tough for me financially. We had many needs yet little funds to meet them. Needs such as school fee and food were pressing and burdensome to me. I also come from a poor background hence battled poverty for long. I've had a not-so-good life as an orphan in my early life so when aid as such as GD sent us came to me, I would rarely misuse it because I have known hard times. I considered it a lifetime chance to make my life better. We have new clothes, enough food and school fee catered for courtesy of GiveDirectly. I used to even borrow funds to feed my family but borrowing is no more and I am peaceful."
gd-21030667,ubi_kenya,1,"The biggest difference is that it reduced the expenses that i have in school costs from my pocket money.I am saving this money so that i will have a smooth day in school when i go to study.",,"I plan to improve  academics in school because i will be settled when i go to back to study.I will not have a fee problem and this will give me a amble time to concentrate and do better.",,"currently my capable to pay school  fees has increased .This will lead to improved performance in academics","In the next six months, my life will have improved because i will have improved my academic performance. I will be able to study well leading to the attainment of my goal..",
gd-24245732,ubi_kenya,2,,"There are many differences in my life since I received cash transfer from GiveDirectly. The biggest one however is that I have rested from strenuous casual work. I used to rise before sunrise to go and dig people's farms for a meager pay that would hardly afford a meal a day for us. I never thought I would ever rest from casual work. Since I received the funds, I bought enough food for us to last up to three months. We also planted some vegetables so we will have an income in three months and  we will continue to have provisions hence no more casual work. I am finally free to attend to my own farm work. Thank you so much for the funds.",,"I plan to expand my poultry in the next four months by buying more chicken. I bought 30 chicken using  the first transfer that GiveDirectly sent us. They give us eggs for sale, so I plan to have more and get more income as a result.",,"I am positive that in the next six months we will buy a cow for milk for sale and consumption. We now have some sources of income (vegetables and poultry) that we began using GiveDirectly funds. They will enable us to buy the cow. We will then have diversified sources of income, life couldn't get better than this. Thank you for coming to our village to help us.","Things were tough for me in the past four months. I used to struggle with casual work and we did not get enough funds to feed us. We would at times go without meals but now we have more than enough as a family courtesy of GiveDirectly. The help we received from GiveDirectly is unheard of. We are forever grateful. Casual work is no longer part of our lives, we are well fed and no lack as a family."
gd-22297972,ubi_kenya,7,,"I am able to buy food at home without requesting for loan or borrowing from friends and neigbors.",,"I have no new goals apsrt from the previous one of booasting my business.",,"In the next six months, I will have a bought cow to be able to rear and milk it in the future when it gives birth.","Currently, I can say I have been given financial freedom, I can shop without borrowing."
gd-22594307,ubi_kenya,7,,"The biggest difference in my daily life in the last four months preceding the current transfer is that I now have an extra source of income because I spent part of the previous transfers on starting up a business.",,"I do not have a new goal but to add more stock to the business so that it vcan grow bigger.",,"In the next six months, I expect to have bought my own motorcycle because currently, I'm operating someone's motorcycle.","My life is currently different from the way it was four months in that I now have an extra source of income thus I can easily meet my needs without challenges."
gd-21036681,ubi_kenya,5,,"My biggest difference in my daily life in the last four months is seeing my children in school with their fees fully paid. Previously, I had difficulties paying for my children’s fees but Give Direclty has given me a support in this. 
Unlike before, nowadays, I can confidently take some stuff from the shop on credit because I am assured of paying for it once transfer has been received.",,"In the next four months, my plan is to set up a poultry keeping. I am so confident that this will be established and will keep going because I am determined and with consistency of GD’s transfers, all plans will fall in place.",,"In the next six months, I will own a poultry farm. I am intending to set up a poultry farm which will in turn assist me get daily income.","My life is currently different because four months ago I couldn’t find enough capital to use in preparing, buying seeds and hiring labor in my land so that I can plant maize. Now, my crops are doing well and this simply means that I will have enough food to feed the family."
gd-21292470,ubi_kenya,6,,,,,,,
gd-21221951,ubi_kenya,5,,"The difference in my life that this transfer  made in my life is so great because i was able to start a business of buying and selling  chicken.",,"I have a goal of  starting a large scale farming to boost my life.",,"I am  planning to lease a bigger farm to do a serious farming on it.","I have really appreciated the transfer because it enabled me have my own business unlike when i could struggle for hard jobs yet less pay or no pay at all."
gd-21319921,ubi_kenya,5,,,,,,,
gd-24059395,ubi_kenya,4,"I am",,"I would like to continue investing on",,"I would not  have been able to buy the stuff that I have bought using these transfers,such as livestock","Hope to have bought at least two cows,that will be",
gd-21172190,ubi_kenya,5,,"The biggest difference in my daily life is that I now have ability to meet my basic needs.I bought a bed and good bedding.I have good sleep every night that allows me to be happy and strong daily.This has made me do well in what I do.",,"My new goal is to buy a dairy cow.This will help me to have milk for my family and also use it as an  income generator.I will also keep contributing to my savings in my table banking group.",,"In the next six months,I will have bought a cow and sheep to rear.I will also have built a house for my children to live in.","My life is currently different because,four months ago,my relationship with my husband was not good.I used to borrow money from time to time which would often irritate him.I no longer have quarrels since i use the money I receive from this transfer wisely.I now can cover some family daily expenditure and has eased his struggles. My relationship with him has greatly improved."
gd-21522554,ubi_kenya,5,,"Right now i have chicken that lays eggs that help with small basic needs on daily basis. I rarely lack the household basics nowadays unlike before when i sometimes took sugarless tea or insufficient food for my children.",,"My new goals in the next four months is that i expect to be owning a cow for rearing.",,"I expect that in the next six months, i will be selling milk from a cow that i will have. The milk will be a source of income and food for our family and will help us live a more better lifestyle. I will have a happy family.","My life is currently different from how it used to be since i no longer have to sleep hungry like how i used to and that i have more confidence in doing different activities since i have a extra source of  funds."
gd-22303113,ubi_kenya,7,,"The biggest difference in my daily life in the last four months preceding the current transfer is that I have already a good number of iron sheets, so I have hopes of soon owning a decent house.",,"In the next four months, I have a goal of saving some money for buying a cow for rearing so that I can also own livestock.",,"In the next six months, I expect to have bought a cow for rearing.","My life is currently different from the way it was four months ago in that currently, I can easily meet my family's needs without struggling. I have also found it easier to pay my children's school fee and this has given them enough time for their studies."
gd-21310318,ubi_kenya,1,"My biggest difference in my daily life is seeing my children going to school without being interrupted by being sent home for school fees. Before the transfer, I had difficulties in settling their arrears but now, I have paid them in full. They are now studying like any other and this gives me joy.",,"I am intending to keep poultry. Before I was enrolled as GD beneficiary, I could not even think of keeping chicken in my homestead. As at now, I am confident that I will have some capital to start it off and after some days I will be able to maintain them. This way I will be able to have full access to eggs for good diet and also steady income.",,"My life currently different because I cannot stay with my children at home. Previously, I could tell them to stay at home as I go engage myself in casual work which always goes for days before I can raise the cash required.","In the next six months, I expect that I will own a good number of poultry. And then later sell them and buy goats. I am sure that I will stop doing casual work as I concentrate on my activities that will also earn me some income to keep my family. I will be able to keep my children in school as well.",
gd-21331464,ubi_kenya,7,,"The biggest difference in my daily life is happiness.",,"The new goal I now have is to buy a calf.",,"I expect my life to change in that I will have bought a calf for myself.","My life currently is different since I was able to expand my business using this transfers."
gd-21397715,ubi_kenya,5,,"The biggest difference in my daily  life  is that these transfers have enabled me to buy two sheep with kids and increased poultry farming and now they are many chicks all these will act as a source of school fees.",,"My new goal is to start construction of a house by taking a loan.",,"I expect to be financially stable hence no more taking of loans and  in terms of dairy farming I expect increased milk production and income.","My life is currently different because  these transfers have enabled me to plan my work more efficiently."
gd-22812266,ubi_kenya,1,"The biggest difference in my daily life is that I have improved my farming using GD transfer.",,"My new goal is to buy a dairy cow and educate my children.",,"In the last four months I no enough money to spend in farming, that is, growing beans. I am now able to improve my farming through GD transfer.","I expect to have started dairy farming and paid fees for my children.",
gd-24061044,ubi_kenya,5,,"This is so obvious,The biggest is the grafted mango project I have started. With this I am sure after one and half years,I will be harvesting and that also means more profits.",,"My new goal is to fence my compound. It so open and this it kind of risky. I also want to start rearing rabbits.",,"In the next six months,I am hopeful that my home will be all fenced. I want to secure my compound from trespassers.","My life is currently different from how it was four months in that I am able to purchase hay for my cows daily. I am also growing nappier grass and other villagers buy from me. I have extra income too."
gd-22320864,ubi_kenya,1,"The biggest difference in my daily life since I started receiving payments is that budgeting has become easier and we rarely go hungry due to lack of food.",,"My new goal is to save part of the monthly transfers so that I can buy a cow that will remind me of Give Directly even when the program is over.",,"My life is currently different from how it would have been because I have an extra source of income which allows me to work more on my farm than I do on others' farms for money.Now I have more time to work on my own projects like farming which will ensure more produce for my family.","In the next six months,I expect to have helped my grandmother expand her business so that we have more source of income  which will help lower our budgeting problems.This will improve our living standards as we will be able to afford better quality foods and medical care.",
gd-20880220,ubi_kenya,7,,"The biggest difference in my daily life in the last four months is that  I am currently able to save through a merry go round thing that had never been possible to me. I have a hope of building a house once my turn comes.",,"The new goal that I have gotten in my life that I didn't have before receiving the transfer is to build a house.",,"In the next six months to come, I expect my life I expect to be  better in that I will be having  anew house.","My life is currently different from how it was four months ago in that I am currently able to save through a merry go round thing that had never been possible to me. I am also able to provide for my family basic needs maily cloths food and even better education. I have a hope of good thing to come in my life."
gd-22831472,ubi_kenya,7,,"The biggest difference is that I have accumulated savings to Khs 1000 that in my merry go, round group. This will enable me to build my kitchen.I use a very old one  that is reeds-thatched.I wil have moved ffrom this very dilapidated old one.",,"In the next four months, Will continue to save money in my merry go round group.",,"I the next six months. I will have to build a good kitchen house. I will also have our a cow.","My life is currently different because my earnings from casual jobs I do is sufficient o keep my children in school with all the provisions.This is because of I"
gd-21292761,ubi_kenya,1,"The biggest difference in my daily life is that these transfers have made me happy  because I used it on food.",,"I am planning to use the next transfer on purchasing maize seeds and start poultry farming and clothing for my kids.",,"My life is now better than before because am happy that every month I will receiving these transfers.","I expect to have bought a heifer as a future investment and I will be harvesting maize in six months time hence adequate food.",
gd-24803094,ubi_kenya,1,"The biggest difference in my daily life since I started receiving payment from GiveDirectly is that I'm now in good health, strong and can do my daily chores since I spent the transfer on my medication",,"I have a new goal of starting up a business so that I can have a source of income, I had never thought of it because I couldn't afford it but now that I'm expecting some money from GiveDirectly I believe I can do it.",,"My life is currently different from the way it would have been had I not received the money in that I'm in good health being that I managed to get medication and having money too is a motivating factor.","I expect to have a decent house because I'm planning to plaster my house. I also expect to have  abusiness which can provide me with income",
gd-21457758,ubi_kenya,2,"The biggest difference in my daily life is that i am more optimistic that i am able to fulfill my plan of building a house.",,"I want to save the transfers that i get so that i can be able to start my own business of buying and selling livestock at a profit.",,"My life is different in that there is more happiness than before and that i am able to look and plan into the future without the fear of probably failing to achieve what i plan for due to lack of finances.","I expect that in the next six months, i would have started my own business and improved my life in terms of what i eat and how i live just like my peers.",
gd-24467377,ubi_kenya,1,"The biggest difference in my daily life since I started receiving the transfer is the ease that I found when I managed to pay my son's school fee at an eleventh hour when he was almost differing his course.",,"Yes, I have a new goal of constructing a new house to replace the old one that i had before.",,"My life is currently different from how it would have been if I never received the transfer in that I no longer worry much on how my son will complete his studies.","In the next six months, I expect to live in one of the best houses around. With the construction project that I have already began, I have much assurance that with the second transfer, I will be able to complete.",
gd-24170266,ubi_kenya,5,,"The biggest difference in my daily life is the ease I am currently having to attend my college arrears. I am now able to attend all my classes.",,"I do not have a new goal but I am still working on clearing my next semester's school fees and continue attending my classes.",,"I expect my life in the next six months to be more comfortable with my school fees fully paid. I will be able to attend all my lessons.","My current life is different from how it was four months ago as I am able to attend all my classes. I do not skip any lesson."
gd-21894549,ubi_kenya,7,,"The biggest difference in my daily life in the last four months is that, I eat well and my children dress well too. I have also managed to save and bought a goat.",,"My new goal is to cement my house so as to reduce the dust in my house.",,"I expect my life to change in the next six months in that, I will have cemented my house hence stay in a decent place . I will also have stared my own business so as to get income which will enable me to take care of my needs easily.","My life is currently different from how it was four months ago in that, I took care of my son's hospital bill easily unlike before where it could have been a struggle."
gd-24527808,ubi_kenya,1,"The biggest difference in my life is that I have my own piece of land which I will use for farming.",,"My new goal is to raise tea seedling and start poultry farming.",,"If not with the money which I got from GD, I would have not gotten enough money for buying the piece of land which I bought after receiving these transfer.","In the next six months I expect to buy a cow for rearing.",
gd-22470244,ubi_kenya,1,"My children used to have difficult time when sleeping because they had a torn blanket and I was worried they could be affected by pneumonia but thanks to GD, they now sleep well in peace.",,"My newest goal is to plaster the floor of my house.",,"My children have proper bedding, I now have a functional phone which I was given by Give Directly and I know I will soon have a bigger house since I have started buying iron sheet and my family will be comfortably accommodated.","I would really want to expand my house and pay school fees for my children in time so that they do not miss lessons when sent home for the same.",
